code,category,name,seisiki_name,tosyo_category,start_day,start_FY,company_url,post_code,address,head_prefecture,category_with_code,stock_market
7597,衣料品・服飾品,東京貴宝,東京貴宝（株）,卸売業,1960年11月7日,1960年度,http://www.tokyokiho.com/,〒110-0015,東京都台東区東上野１－２６－２オーラムビル,東京都,6050_卸売業,東証JQスタンダード
7599,自動車小売,ＩＤＯＭ,（株）ＩＤＯＭ,卸売業,1994年10月25日,1994年度,http://www.idom-inc.com/,〒100-6425,東京都千代田区丸の内２－７－３東京ビル,東京都,6050_卸売業,東証１部
7600,業務用機械器具,日本エム・ディ・エム,（株）日本エム・ディ・エム,精密機器,1973年5月28日,1973年度,http://www.jmdm.co.jp/,〒162-0066,東京都新宿区市谷台町１２－２,東京都,3750_精密機器,東証１部
7601,総合小売・食料品小売,ポプラ,（株）ポプラ,小売業,1976年4月20日,1976年度,http://www.poplar-cvs.co.jp/,〒731-3395,広島市安佐北区安佐町大字久地６６５－１,広島県,6100_小売業,東証１部
7602,自動車小売,カーチスホールディングス,（株）カーチスホールディングス,卸売業,1987年12月10日,1987年度,http://www.carchs-hd.com/,〒102-8578,東京都千代田区紀尾井町４－１新紀尾井町ビル,東京都,6050_卸売業,東証２部
7603,衣料品・服飾品小売,マックハウス,（株）マックハウス,小売業,1990年6月1日,1990年度,http://www.mac-house.co.jp/,〒166-0011,東京都杉並区梅里１－７－７新高円寺ツインビル,東京都,6100_小売業,東証JQスタンダード
7604,飲食店,梅の花,（株）梅の花,小売業,1990年1月31日,1989年度,http://www.umenohana.co.jp/,〒830-0033,福岡県久留米市天神町１４６,福岡県,6100_小売業,東証２部
7605,専門店・ドラッグストア,フジ・コーポレーション,（株）フジ・コーポレーション,小売業,1982年11月4日,1982年度,http://www.fujicorporation.com/,〒981-3341,宮城県富谷市成田１－７－１,宮城県,6100_小売業,東証１部
7606,衣料品・服飾品小売,ユナイテッドアローズ,（株）ユナイテッドアローズ,小売業,1989年10月2日,1989年度,http://www.united-arrows.co.jp/,〒107-0052,東京都港区赤坂８－１－１９日本生命赤坂ビル,東京都,6100_小売業,東証１部
7607,建材・電気機械・金属卸,進和,（株）進和,卸売業,1951年2月12日,1950年度,http://www.shinwa-jpn.co.jp/,〒463-0046,名古屋市守山区苗代２－９－３,愛知県,6050_卸売業,東証１部
